book_id,title,author,genre,price,rating
1,Book Title 1,Author 7,Fiction,65.65,4.0
2,Book Title 2,Author 4,Fantasy,44.42,2.7
3,Book Title 3,Author 8,Non-fiction,98.49,1.8
4,Book Title 4,Author 5,Non-fiction,52.01,3.3
5,Book Title 5,Author 7,Fiction,87.39,1.1
6,Book Title 6,Author 3,Fantasy,71.23,4.4
7,Book Title 7,Author 7,Fiction,50.54,2.8
8,Book Title 8,Author 8,Fiction,11.19,2.6
9,Book Title 9,Author 5,Science,94.8,4.7
10,Book Title 10,Author 4,Science,60.7,3.9
11,Book Title 11,Author 8,Science,44.69,2.3
12,Book Title 12,Author 8,Non-fiction,11.44,3.3
13,Book Title 13,Author 3,Fantasy,30.78,3.1
14,Book Title 14,Author 6,Fantasy,31.69,4.8
15,Book Title 15,Author 5,Fantasy,71.49,4.4
16,Book Title 16,Author 2,Fantasy,64.9,4.0
17,Book Title 17,Author 8,Science,84.99,3.2
18,Book Title 18,Author 6,Non-fiction,25.6,3.3
19,Book Title 19,Author 2,Non-fiction,45.2,4.9
20,Book Title 20,Author 5,Science,26.4,3.4
